,연관키워드,월간검색수_PC,월간검색수_모바일,월평균클릭수_PC,월평균클릭수_모바일,월평균클릭률_PC,월평균클릭률_모바일,월평균노출광고수,경쟁정도
2820,다운점퍼,1380.0,6120.0,3.7,29.4,0.28,0.51,15,3
2826,기모팬츠,1560.0,10400.0,7.6,83.9,0.5,0.84,15,3
2836,SUIT,2770.0,9290.0,1.1,4.6,0.05,0.06,12,2
2838,슈트,1960.0,8370.0,4.7,19.4,0.26,0.25,15,3
2856,남성복,1200.0,2760.0,15.1,62.1,1.33,2.46,15,3
2864,정장,6890.0,35100.0,21.3,186.2,0.33,0.58,15,3
2865,남자하객룩,2030.0,11700.0,11.5,116.8,0.61,1.12,15,3
2869,남성정장,3670.0,19000.0,31.1,169.8,0.91,0.96,15,3
2872,남자정장브랜드,1170.0,5530.0,3.6,24.3,0.33,0.48,15,3
2877,수트,1420.0,6730.0,4.3,44.5,0.32,0.72,15,3
2878,정장브랜드,1410.0,6650.0,7.0,4.7,0.53,0.08,15,3
2881,세미정장,3090.0,17000.0,8.3,76.5,0.29,0.49,15,3
2891,폴라티,3180.0,21200.0,12.9,76.8,0.42,0.38,15,3
2901,오프숄더니트,1360.0,15000.0,5.1,16.3,0.4,0.12,15,3
2907,청자켓코디,1340.0,21600.0,1.3,5.7,0.12,0.03,15,3
2913,니트스커트,2700.0,23600.0,4.5,19.8,0.18,0.09,15,3
2924,면티,1520.0,9290.0,5.3,52.8,0.38,0.63,15,3
2926,반폴라,1410.0,9100.0,3.6,17.3,0.27,0.21,15,3
2927,반폴라니트,2210.0,12900.0,7.2,53.8,0.35,0.44,15,3
2931,벨벳원피스,1320.0,15400.0,8.3,41.2,0.66,0.28,15,3
2937,숄가디건,1040.0,11800.0,3.1,20.5,0.32,0.19,15,3
2940,아가일가디건,1010.0,9680.0,1.3,6.2,0.15,0.07,15,3
2941,앙고라니트,2240.0,23200.0,5.0,48.8,0.24,0.23,15,3
2943,가디건코디,1110.0,13900.0,2.9,33.8,0.29,0.27,15,3
2945,골지니트,1340.0,13000.0,3.4,20.7,0.27,0.17,15,3
2949,남자팬티,4810.0,30500.0,35.3,585.0,0.77,2.04,15,3
2950,남자속옷,2740.0,16100.0,26.9,322.9,1.05,2.12,15,3
2951,남성팬티,2440.0,19700.0,25.3,330.8,1.1,1.76,15,3
2952,남자드로즈,1790.0,9420.0,14.3,161.1,0.84,1.82,15,3
2953,남성드로즈,1040.0,6200.0,7.9,94.8,0.82,1.63,15,3
2954,남성속옷,1030.0,4950.0,12.1,125.6,1.26,2.7,15,3
2956,드로즈,1510.0,7300.0,3.3,52.5,0.24,0.78,15,3
2981,라쉬반,2850.0,12000.0,9.5,115.8,0.35,1.01,15,3
3054,20대남자생일선물,1650.0,9230.0,0.8,3.0,0.06,0.04,14,3
3121,30대남자생일선물,2150.0,11100.0,1.1,3.3,0.06,0.04,15,3
3137,브리프,1180.0,3900.0,0.5,2.7,0.05,0.08,15,3
3210,트렁크팬티,1140.0,11100.0,4.0,69.3,0.37,0.66,15,3
3272,남자내복,1160.0,8900.0,9.2,79.7,0.83,0.93,15,3
3281,팬티,3390.0,27700.0,13.8,296.7,0.44,1.14,15,3
3312,심리스,1950.0,6020.0,5.8,88.8,0.32,1.58,15,3
3335,원피스,33800.0,219300.0,111.7,1009.8,0.36,0.5,15,3
3336,여성원피스,1650.0,21900.0,20.9,219.8,1.38,1.1,15,3
3337,롱원피스,2720.0,41400.0,16.1,148.8,0.65,0.4,15,3
3338,여자쇼핑몰,3060.0,10800.0,85.3,395.3,2.96,3.92,15,3
3339,20대여자쇼핑몰,1300.0,5640.0,42.8,261.9,3.48,4.98,15,3
3340,여름원피스,2830.0,28800.0,61.7,556.5,2.28,2.05,15,3
3342,하객원피스,6880.0,59700.0,137.3,986.2,2.1,1.77,15,3
3344,샌들,1720.0,8360.0,7.7,37.0,0.49,0.48,15,3
3346,미니원피스,1420.0,15400.0,12.1,142.3,0.9,1.0,15,3
3348,하객룩,16100.0,102500.0,302.8,2355.0,1.99,2.5,15,3
3349,셔츠원피스,1040.0,12300.0,2.7,10.5,0.28,0.1,15,3
3350,드레스대여,1540.0,13300.0,42.7,545.0,2.9,4.37,15,3
3351,겨울원피스,7080.0,80000.0,70.0,724.8,1.03,0.94,15,3
3353,여성의류쇼핑몰,5690.0,54100.0,227.0,2539.1,4.27,5.06,15,3
3354,트위드원피스,4820.0,46400.0,20.9,59.2,0.46,0.14,15,3
3357,블라우스,4790.0,43100.0,33.1,205.5,0.75,0.53,15,3
3359,상견례원피스,1190.0,11900.0,10.9,158.2,0.94,1.37,15,3
3360,여자청바지,1640.0,16000.0,25.7,152.0,1.67,1.04,15,3
3366,30대여성쇼핑몰,2170.0,17700.0,66.9,729.3,3.3,4.43,15,3
3369,여성블라우스,1010.0,13500.0,13.7,85.6,1.46,0.7,15,3
3370,스커트,3260.0,30500.0,10.0,116.5,0.33,0.42,15,3
3376,점프수트,2210.0,18000.0,4.5,11.6,0.23,0.08,15,3
3377,여성가디건,4650.0,45300.0,43.1,246.3,1.01,0.61,15,3
3379,여성바지,1550.0,15200.0,16.5,119.1,1.14,0.85,15,3
3381,하객룩쇼핑몰,1160.0,4640.0,61.7,236.9,5.52,5.45,15,3
3382,여성자켓,4010.0,44500.0,28.7,185.8,0.78,0.46,15,3
3383,가디건,13800.0,119800.0,34.1,353.5,0.27,0.33,15,3
3386,뷔스티에원피스,2100.0,22500.0,7.7,91.8,0.39,0.44,15,3
3389,가을원피스,2440.0,29200.0,23.5,228.4,1.11,0.94,15,3
3392,원피스잠옷,1360.0,12200.0,15.3,234.2,1.18,2.05,15,3
3393,가을옷,1430.0,8920.0,8.6,136.2,0.7,1.81,15,3
3397,핸드메이드코트,8720.0,81900.0,121.8,1335.0,1.46,1.72,15,3
3401,가죽자켓,7140.0,76700.0,80.1,673.3,1.22,0.97,15,3
3405,정장원피스,1260.0,14600.0,31.3,257.6,2.61,1.91,15,3
3406,KL,1310.0,5110.0,15.7,112.8,1.26,2.38,15,3
3409,롱스커트,2790.0,35100.0,13.6,115.6,0.52,0.36,15,3
3414,니트원피스,9040.0,115100.0,51.0,507.1,0.6,0.47,15,3
3476,의류브랜드,1120.0,3150.0,1.1,9.5,0.11,0.32,15,3
3486,여성복,1300.0,4210.0,19.6,53.3,1.6,1.36,15,3
3492,오프숄더,1360.0,8630.0,1.5,0.7,0.12,0.01,15,3
3497,수영복,15000.0,104600.0,243.4,1845.7,1.71,1.88,15,3
3498,스판덱스,1130.0,1420.0,0.3,0.7,0.04,0.06,9,2
3500,시밀러룩,4210.0,39300.0,112.7,1219.6,2.85,3.31,15,3
3501,시스루,1450.0,8340.0,1.5,4.0,0.11,0.06,15,3
3506,등산복,8390.0,54900.0,65.9,750.0,0.83,1.47,15,3
3508,래쉬가드,6680.0,49400.0,114.9,781.3,1.82,1.7,15,3
3510,루즈핏,1460.0,8670.0,1.4,9.3,0.11,0.12,15,3
3513,77사이즈,1130.0,6960.0,36.7,326.1,3.42,5.0,15,3
3530,힙플라스크,1080.0,4120.0,0.8,1.7,0.08,0.05,13,2
3532,의류,2420.0,4350.0,6.4,6.4,0.28,0.16,15,3
3541,트위드,3490.0,18700.0,4.3,19.8,0.14,0.12,15,3
3551,옷브랜드,1520.0,9250.0,3.5,102.6,0.25,1.2,15,3
3571,누빔자켓,2520.0,21800.0,8.5,41.3,0.36,0.21,15,3
3574,펌프스,1370.0,9300.0,8.3,55.5,0.66,0.66,15,3
3576,조끼,7270.0,55200.0,36.9,147.0,0.54,0.29,15,3
3578,치마레깅스,1300.0,13900.0,17.4,303.3,1.43,2.31,15,3
3581,케이프코트,2910.0,32100.0,8.3,77.2,0.3,0.26,15,3
3583,여성경량롱패딩,1270.0,12700.0,8.3,41.7,0.7,0.35,15,3
3585,여성울자켓,1600.0,15300.0,9.5,59.6,0.62,0.41,15,3
3593,맥코트,2680.0,13000.0,1.6,1.7,0.07,0.02,15,3
3597,바지,5330.0,39100.0,12.3,181.3,0.25,0.5,15,3
3603,깔깔이,11500.0,71900.0,51.3,923.7,0.47,1.36,15,3
3606,남성조끼,1450.0,7680.0,9.6,42.1,0.7,0.59,15,3
3615,알파카코트,1110.0,11300.0,5.5,35.8,0.52,0.33,15,3
3616,트렌치코트,7210.0,71100.0,20.5,20.8,0.32,0.04,15,3
3633,블랙원피스,1330.0,14000.0,4.3,5.7,0.34,0.05,15,3
3648,파티드레스,1110.0,12000.0,36.7,641.0,3.47,5.62,15,3
3651,니트스커트,2700.0,23600.0,4.5,19.8,0.18,0.09,15,3
3662,니트투피스,1300.0,17100.0,5.7,25.2,0.46,0.16,15,3
3665,휴양지원피스,2220.0,19500.0,116.7,840.7,5.5,4.57,15,3
3671,자켓,6490.0,50100.0,8.3,22.5,0.14,0.05,15,3
3691,여성등산화,2260.0,14500.0,16.1,184.6,0.76,1.36,15,3
3712,코트,12200.0,112400.0,25.8,139.3,0.23,0.13,15,3
3744,코듀로이원피스,1330.0,17100.0,5.5,28.4,0.44,0.18,15,3
3792,라이더자켓,2850.0,24400.0,7.9,12.9,0.31,0.06,15,3
3811,반집업니트,3360.0,26900.0,17.9,365.1,0.56,1.45,15,3
3817,롱니트원피스,1060.0,14500.0,4.5,54.0,0.45,0.4,15,3
3818,퀼팅자켓,6520.0,61100.0,11.4,91.0,0.19,0.16,15,3
3824,하객룩원피스,1460.0,8630.0,29.5,161.7,2.12,2.02,15,3
3838,모조에스핀원피스,1300.0,21300.0,6.9,160.7,0.57,0.83,15,3
3841,긴팔티,1550.0,8690.0,2.1,8.1,0.15,0.11,15,3
3842,트레이닝복,6760.0,55700.0,43.2,505.8,0.69,0.99,15,3
3843,반바지,2000.0,12300.0,2.1,15.7,0.12,0.14,15,3
3845,린넨,2990.0,9550.0,7.8,77.5,0.28,0.88,15,3
3861,재킷,1130.0,4720.0,1.8,10.5,0.18,0.25,15,3
3864,겨울하객원피스,1230.0,9070.0,18.8,132.6,1.56,1.51,15,3
3868,후드원피스,1520.0,19700.0,3.7,91.8,0.26,0.51,15,3
