,키워드 ID,상태,키워드,키워드 속성,입찰가 유형,입찰가,품질지수,노출수,클릭수,클릭률(%),"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",노출가능 광고개수(PC),키워드 검색수,검색 상단 노출율(%)
54,nkw-a001-01-000004934219350,중지 : 키워드 검토중,보드,,키워드,750.0,4.0,0,0,0,0,0,15.0,,0.0
55,nkw-a001-01-000004934219266,중지 : 키워드 검토중,사무실방한용품,,키워드,740.0,4.0,0,0,0,0,0,15.0,,0.0
56,nkw-a001-01-000004934219301,중지 : 키워드 검토중,삼성SSD,,키워드,1810.0,4.0,0,0,0,0,0,15.0,,0.0
57,nkw-a001-01-000004934219302,중지 : 키워드 검토중,삼성SSD1TB,,키워드,920.0,4.0,0,0,0,0,0,15.0,,0.0
58,nkw-a001-01-000004934219308,중지 : 키워드 검토중,삼성T7,,키워드,600.0,4.0,0,0,0,0,0,15.0,,0.0
59,nkw-a001-01-000004934219304,중지 : 키워드 검토중,삼성USB,,키워드,2080.0,4.0,0,0,0,0,0,15.0,,0.0
60,nkw-a001-01-000004934219372,중지 : 키워드 검토중,삼성게이밍모니터,,키워드,740.0,4.0,0,0,0,0,0,15.0,,0.0
61,nkw-a001-01-000004934219325,중지 : 키워드 검토중,삼성모니터,,키워드,5470.0,4.0,0,0,0,0,0,15.0,,0.0
62,nkw-a001-01-000004934219298,중지 : 키워드 검토중,삼성외장SSD,,키워드,840.0,4.0,0,0,0,0,0,15.0,,0.0
63,nkw-a001-01-000004934219290,중지 : 키워드 검토중,삼성외장하드,,키워드,1820.0,4.0,0,0,0,0,0,15.0,,0.0
64,nkw-a001-01-000004934219358,중지 : 키워드 검토중,서보모터,,키워드,4050.0,4.0,0,0,0,0,0,15.0,,0.0
65,nkw-a001-01-000004934219327,중지 : 키워드 검토중,스마트모니터,,키워드,3770.0,4.0,0,0,0,0,0,15.0,,0.0
66,nkw-a001-01-000004934219267,중지 : 키워드 검토중,시거잭충전기,,키워드,1380.0,4.0,0,0,0,0,0,15.0,,0.0
67,nkw-a001-01-000004934219285,중지 : 키워드 검토중,썬더볼트,,키워드,580.0,4.0,0,0,0,0,0,15.0,,0.0
68,nkw-a001-01-000004934219271,중지 : 키워드 검토중,씨게이트외장하드,,키워드,9750.0,4.0,0,0,0,0,0,15.0,,0.0
69,nkw-a001-01-000004934219396,중지 : 키워드 검토중,엘지모니터,,키워드,1280.0,4.0,0,0,0,0,0,15.0,,0.0
70,nkw-a001-01-000004934219265,중지 : 키워드 검토중,온열마우스패드,,키워드,580.0,4.0,0,0,0,0,0,15.0,,0.0
71,nkw-a001-01-000004934219362,중지 : 키워드 검토중,와이드모니터,,키워드,1580.0,4.0,0,0,0,0,0,15.0,,0.0
72,nkw-a001-01-000004934219258,중지 : 키워드 검토중,와이파이증폭기,,키워드,1660.0,4.0,0,0,0,0,0,15.0,,0.0
73,nkw-a001-01-000004934219310,중지 : 키워드 검토중,외장SSD,,키워드,2340.0,4.0,0,0,0,0,0,15.0,,0.0
74,nkw-a001-01-000004934219264,중지 : 키워드 검토중,외장하드,,키워드,4000.0,4.0,0,0,0,0,0,15.0,,0.0
75,nkw-a001-01-000004934219277,중지 : 키워드 검토중,외장하드1TB,,키워드,2280.0,4.0,0,0,0,0,0,15.0,,0.0
76,nkw-a001-01-000004934219279,중지 : 키워드 검토중,외장하드1테라,,키워드,1780.0,4.0,0,0,0,0,0,15.0,,0.0
77,nkw-a001-01-000004934219274,중지 : 키워드 검토중,외장하드2TB,,키워드,3730.0,4.0,0,0,0,0,0,15.0,,0.0
78,nkw-a001-01-000004934219272,중지 : 키워드 검토중,외장하드2테라,,키워드,2590.0,4.0,0,0,0,0,0,15.0,,0.0
79,nkw-a001-01-000004934219281,중지 : 키워드 검토중,외장하드4TB,,키워드,4610.0,4.0,0,0,0,0,0,15.0,,0.0
80,nkw-a001-01-000004934219275,중지 : 키워드 검토중,외장하드500GB,,키워드,1100.0,4.0,0,0,0,0,0,15.0,,0.0
81,nkw-a001-01-000004934219309,중지 : 키워드 검토중,외장하드SSD,,키워드,1830.0,4.0,0,0,0,0,0,15.0,,0.0
82,nkw-a001-01-000004934219270,중지 : 키워드 검토중,외장하드추천,,키워드,2210.0,4.0,0,0,0,0,0,15.0,,0.0
83,nkw-a001-01-000004934219284,중지 : 키워드 검토중,외장하드케이스,,키워드,770.0,4.0,0,0,0,0,0,15.0,,0.0
84,nkw-a001-01-000004934219316,중지 : 키워드 검토중,위쳐3,,키워드,590.0,4.0,0,0,0,0,0,15.0,,0.0
85,nkw-a001-01-000004934219339,중지 : 키워드 검토중,인버터,,키워드,12130.0,4.0,0,0,0,0,0,15.0,,0.0
86,nkw-a001-01-000004934219262,중지 : 키워드 검토중,인터넷100메가500메가,,키워드,4970.0,4.0,0,0,0,0,0,15.0,,0.0
87,nkw-a001-01-000004934219259,중지 : 키워드 검토중,인터넷선,,키워드,6730.0,4.0,0,0,0,0,0,15.0,,0.0
89,nkw-a001-01-000004934219331,중지 : 키워드 검토중,중고그래픽카드,,키워드,820.0,4.0,0,0,0,0,0,15.0,,0.0
90,nkw-a001-01-000004934219323,중지 : 키워드 검토중,컴퓨터렌탈,,키워드,9320.0,4.0,0,0,0,0,0,15.0,,0.0
91,nkw-a001-01-000004934219333,중지 : 키워드 검토중,컴퓨터모니터,,키워드,2510.0,4.0,0,0,0,0,0,15.0,,0.0
92,nkw-a001-01-000004934219303,중지 : 키워드 검토중,컴퓨터용량,,키워드,910.0,4.0,0,0,0,0,0,15.0,,0.0
93,nkw-a001-01-000004934219305,중지 : 키워드 검토중,클라우드서비스,,키워드,23190.0,4.0,0,0,0,0,0,15.0,,0.0
94,nkw-a001-01-000004934219356,중지 : 키워드 검토중,태블릿,,키워드,1610.0,4.0,0,0,0,0,0,15.0,,0.0
95,nkw-a001-01-000004934219352,중지 : 키워드 검토중,포터블모니터,,키워드,1510.0,4.0,0,0,0,0,0,15.0,,0.0
96,nkw-a001-01-000004934219287,중지 : 키워드 검토중,하드,,키워드,650.0,4.0,0,0,0,0,0,15.0,,0.0
97,nkw-a001-01-000004934219306,중지 : 키워드 검토중,하드도킹스테이션,,키워드,580.0,4.0,0,0,0,0,0,15.0,,0.0
