,연관키워드,type,월간검색수_PC,월간검색수_모바일,월평균클릭수_PC,월평균클릭수_모바일,월평균클릭률_PC,월평균클릭률_모바일,월평균노출광고수,경쟁정도,입찰가_m1,입찰가_m2,입찰가_p1,입찰가_p2
1894,포켓와이파이,디지털/가전,7240.0,20600.0,67.1,590.9,0.98,3.06,15,3,4450.0,2770.0,5750.0,3340.0
1895,KT가족결합,디지털/가전,850.0,2220.0,0.7,5.6,0.09,0.28,15,3,9070.0,7440.0,10720.0,8730.0
1896,WIFI,디지털/가전,1720.0,2790.0,1.1,5.2,0.07,0.21,15,3,13650.0,8780.0,13280.0,11950.0
1897,인터넷허브,디지털/가전,1600.0,2290.0,2.5,1.8,0.16,0.09,15,3,2420.0,750.0,1250.0,1090.0
1898,포트포워딩,디지털/가전,1980.0,1030.0,0.0,0.0,0.0,0.0,3,3,1580.0,160.0,390.0,230.0
1899,WPS,디지털/가전,1990.0,2840.0,0.9,3.4,0.05,0.13,14,3,2070.0,1670.0,2180.0,1800.0
1900,광고,디지털/가전,10400.0,16500.0,12.4,52.8,0.13,0.34,15,3,26820.0,6040.0,74450.0,7130.0
1901,무선,디지털/가전,1080.0,1960.0,0.1,1.5,0.01,0.09,15,3,2440.0,2000.0,2460.0,1740.0
1902,와이파이증폭기,디지털/가전,5530.0,22600.0,5.3,129.3,0.1,0.63,15,3,4330.0,2630.0,2890.0,1660.0
1903,인터넷선,디지털/가전,1290.0,4840.0,0.5,0.0,0.04,0.0,15,3,6740.0,4520.0,7540.0,6730.0
1904,전입신고인터넷,디지털/가전,15100.0,27300.0,0.0,1.0,0.0,0.02,1,2,9760.0,9760.0,9740.0,70.0
1905,동글,디지털/가전,2020.0,3320.0,2.6,0.0,0.14,0.0,15,3,3420.0,690.0,790.0,560.0
1906,인터넷100메가500메가,디지털/가전,840.0,1830.0,0.9,10.2,0.12,0.58,15,3,8080.0,6360.0,6160.0,4970.0
1907,기가바이트메인보드,디지털/가전,2390.0,1390.0,1.0,0.0,0.05,0.0,12,2,1100.0,500.0,3350.0,560.0
1908,외장하드,디지털/가전,37200.0,111700.0,129.9,512.0,0.37,0.48,15,3,3540.0,2610.0,4790.0,4000.0
1909,온열마우스패드,디지털/가전,3940.0,4270.0,5.9,16.4,0.16,0.4,15,3,1090.0,460.0,830.0,580.0
1910,사무실방한용품,디지털/가전,810.0,960.0,2.4,1.3,0.29,0.14,13,2,1520.0,300.0,990.0,740.0
1911,시거잭충전기,생활/건강,1340.0,6690.0,2.5,48.8,0.2,0.78,15,3,1760.0,1370.0,1650.0,1380.0
1912,모자종류,디지털/가전,1930.0,16700.0,15.0,537.3,0.82,3.46,15,3,600.0,380.0,550.0,450.0
1913,맥북외장하드,디지털/가전,970.0,1480.0,2.4,14.7,0.26,1.05,15,3,3370.0,3280.0,1410.0,1300.0
1914,외장하드추천,디지털/가전,2250.0,3830.0,9.9,46.7,0.46,1.28,15,3,2550.0,2270.0,4240.0,2210.0
1915,씨게이트외장하드,디지털/가전,2660.0,4750.0,26.6,108.3,1.04,2.41,15,3,2550.0,2390.0,9960.0,9750.0
1916,외장하드2테라,디지털/가전,1080.0,1910.0,3.7,23.3,0.37,1.3,15,3,3100.0,2990.0,2720.0,2590.0
1917,1테라외장하드,디지털/가전,2610.0,7090.0,11.6,92.8,0.46,1.4,15,3,2770.0,2510.0,3300.0,2770.0
1918,외장하드2TB,디지털/가전,1130.0,2010.0,2.4,12.3,0.23,0.65,15,3,3340.0,3200.0,3860.0,3730.0
1919,외장하드500GB,디지털/가전,1240.0,2020.0,4.7,34.5,0.41,1.84,15,3,1650.0,1060.0,1280.0,1100.0
1920,대용량USB,디지털/가전,1160.0,4000.0,2.9,23.5,0.26,0.63,15,3,2410.0,1460.0,5080.0,4600.0
1921,외장하드1TB,디지털/가전,1250.0,1750.0,2.1,9.8,0.18,0.6,15,3,2380.0,2150.0,2380.0,2280.0
1922,1TB,디지털/가전,1770.0,3610.0,0.9,1.0,0.06,0.03,15,3,1640.0,1590.0,1220.0,1150.0
1923,외장하드1테라,디지털/가전,1470.0,1440.0,4.3,14.9,0.3,1.1,15,3,2820.0,2740.0,1870.0,1780.0
1924,1테라,디지털/가전,1460.0,3070.0,1.1,0.0,0.08,0.0,13,2,1310.0,1240.0,860.0,820.0
1925,외장하드4TB,디지털/가전,1410.0,2760.0,7.3,37.9,0.55,1.46,15,3,4540.0,3800.0,4740.0,4610.0
1926,HDD1TB,디지털/가전,890.0,1380.0,1.0,8.0,0.12,0.62,15,3,1980.0,1370.0,920.0,860.0
1927,하드디스크,디지털/가전,8890.0,14000.0,19.7,117.3,0.24,0.9,15,3,2820.0,1920.0,3120.0,2140.0
1928,외장하드케이스,디지털/가전,2820.0,3960.0,3.4,40.2,0.13,1.11,15,3,1100.0,730.0,1090.0,770.0
1929,썬더볼트,디지털/가전,3010.0,7270.0,11.8,3.0,0.41,0.05,15,3,1090.0,650.0,660.0,580.0
1930,바라쿠다,디지털/가전,1420.0,4560.0,0.3,0.3,0.02,0.01,15,3,1600.0,1220.0,1560.0,1170.0
1931,하드,디지털/가전,1360.0,3320.0,1.7,3.8,0.14,0.13,15,3,1030.0,600.0,730.0,650.0
1932,SSD외장하드케이스,디지털/가전,980.0,1740.0,2.7,13.4,0.3,0.82,15,3,2210.0,610.0,700.0,570.0
1933,도시바외장하드,디지털/가전,1850.0,3510.0,2.2,21.6,0.13,0.65,15,3,3280.0,910.0,1350.0,1000.0
1934,삼성외장하드,디지털/가전,3010.0,5680.0,12.1,47.0,0.42,0.88,15,3,2770.0,2270.0,2770.0,1820.0
1935,도시바,디지털/가전,2080.0,2930.0,0.6,3.6,0.03,0.14,15,3,1640.0,1110.0,1270.0,1010.0
1936,USB용량,디지털/가전,990.0,990.0,0.9,6.0,0.1,0.65,15,3,2300.0,460.0,1770.0,650.0
1937,USB2.0,디지털/가전,850.0,1170.0,0.8,0.5,0.1,0.05,15,3,750.0,600.0,1550.0,1350.0
1938,USB1테라,디지털/가전,830.0,2920.0,6.7,25.0,0.84,0.91,9,2,1580.0,290.0,740.0,580.0
1939,USB256,디지털/가전,1820.0,4160.0,4.5,48.3,0.27,1.24,15,3,3250.0,720.0,2010.0,1450.0
1940,C타입USB,디지털/가전,2000.0,5180.0,1.4,27.9,0.08,0.58,15,3,1140.0,740.0,2590.0,1640.0
1941,USB512,디지털/가전,840.0,1760.0,0.7,11.5,0.1,0.72,15,3,1210.0,660.0,960.0,720.0
1942,삼성외장SSD,디지털/가전,890.0,1350.0,3.1,9.8,0.38,0.77,15,3,3010.0,1270.0,990.0,840.0
1943,WD,디지털/가전,3360.0,5130.0,2.8,19.6,0.09,0.41,15,3,1230.0,630.0,1390.0,870.0
1944,PORTABLE,디지털/가전,3320.0,7010.0,0.6,2.5,0.02,0.04,14,3,1240.0,410.0,440.0,400.0
1945,삼성SSD,디지털/가전,3940.0,4180.0,5.3,25.6,0.15,0.66,15,3,2050.0,1680.0,1990.0,1810.0
1946,삼성SSD1TB,디지털/가전,1220.0,2190.0,2.9,20.0,0.26,0.98,14,3,3090.0,1450.0,1190.0,920.0
1947,컴퓨터용량,디지털/가전,1190.0,860.0,0.4,6.3,0.04,0.8,11,2,2800.0,1050.0,2300.0,910.0
1948,삼성USB,디지털/가전,1540.0,2980.0,1.5,16.2,0.11,0.58,15,3,2470.0,1380.0,4520.0,2080.0
1949,클라우드서비스,디지털/가전,1860.0,1500.0,5.2,6.3,0.3,0.45,15,3,22960.0,21030.0,24590.0,23190.0
1950,하드도킹스테이션,디지털/가전,950.0,1070.0,0.9,0.8,0.11,0.09,14,3,1660.0,560.0,760.0,580.0
1951,USB메모리,디지털/가전,3060.0,4130.0,2.5,4.1,0.09,0.11,15,3,6480.0,2800.0,20050.0,17680.0
1952,삼성T7,디지털/가전,1340.0,2050.0,2.4,13.2,0.19,0.69,10,2,2030.0,670.0,760.0,600.0
1953,외장하드SSD,디지털/가전,3980.0,5350.0,12.6,42.8,0.33,0.86,15,3,2080.0,1630.0,2200.0,1830.0
1954,외장SSD,디지털/가전,5980.0,9970.0,11.6,98.8,0.21,1.07,15,3,2410.0,1890.0,2800.0,2340.0
1955,SSD외장하드,디지털/가전,7760.0,14200.0,21.3,139.0,0.29,1.05,15,3,2520.0,1650.0,2590.0,1930.0
1956,STORAGE,디지털/가전,4360.0,8080.0,0.7,10.5,0.02,0.14,15,3,6530.0,5430.0,8510.0,6840.0
1957,도킹스테이션,디지털/가전,1880.0,2930.0,1.2,0.3,0.07,0.02,15,3,1400.0,560.0,3250.0,2380.0
1958,위쳐3,디지털/가전,2420.0,4060.0,0.6,0.0,0.03,0.0,5,2,980.0,570.0,970.0,590.0
1959,발워머,디지털/가전,860.0,3680.0,3.3,56.0,0.4,1.62,15,3,1020.0,640.0,1320.0,850.0
1960,모니터,디지털/가전,37600.0,65500.0,66.3,407.8,0.19,0.68,15,3,3380.0,2870.0,5470.0,4360.0
1961,컴퓨터렌탈,디지털/가전,1000.0,3080.0,44.2,401.0,4.57,13.73,15,3,8970.0,8250.0,10120.0,9320.0
1962,삼성모니터,디지털/가전,6010.0,10200.0,7.2,32.5,0.13,0.35,15,3,5460.0,3350.0,7750.0,5470.0
1963,스마트모니터,디지털/가전,3030.0,8400.0,4.2,51.5,0.15,0.67,15,3,3720.0,2890.0,4160.0,3770.0
1964,노트북대여,디지털/가전,1870.0,5390.0,50.7,303.4,2.81,5.94,15,3,7520.0,6080.0,12980.0,11770.0
1965,중고그래픽카드,디지털/가전,4090.0,5520.0,55.7,205.0,1.45,3.98,15,3,740.0,610.0,1100.0,820.0
1966,컴퓨터모니터,디지털/가전,4970.0,13200.0,25.9,187.9,0.55,1.54,15,3,3010.0,2770.0,2940.0,2510.0
1967,모터,디지털/가전,3430.0,5900.0,28.9,55.3,0.88,1.0,15,3,3800.0,3270.0,4040.0,3490.0
1968,게이밍모니터,디지털/가전,6420.0,22100.0,13.3,152.8,0.23,0.75,15,3,3030.0,2300.0,2700.0,2320.0
1969,인버터,생활/건강,8750.0,23400.0,33.4,377.4,0.4,1.71,15,3,11280.0,10900.0,13730.0,12130.0
1970,드라이버,디지털/가전,11600.0,40000.0,19.7,234.5,0.18,0.64,15,3,2910.0,1520.0,3360.0,1850.0
1971,화낙,디지털/가전,1820.0,3340.0,0.9,1.7,0.05,0.06,15,3,900.0,770.0,980.0,850.0
1972,휴대용모니터,디지털/가전,4920.0,12300.0,19.7,150.3,0.43,1.33,15,3,2560.0,2340.0,2460.0,2060.0
1973,드라이브,디지털/가전,7580.0,19000.0,1.0,1.7,0.02,0.01,13,2,7780.0,730.0,1340.0,630.0
1974,27인치모니터,디지털/가전,10100.0,25400.0,16.7,145.3,0.18,0.61,15,3,6680.0,3990.0,5730.0,5280.0
1975,보드,디지털/가전,3630.0,14000.0,3.1,3.0,0.09,0.03,15,3,890.0,710.0,1180.0,750.0
1976,포터블모니터,디지털/가전,4400.0,8620.0,13.1,91.3,0.32,1.14,15,3,2820.0,2020.0,1750.0,1510.0
1977,고철시세,디지털/가전,3930.0,21500.0,84.7,1569.0,2.21,7.63,13,2,930.0,460.0,850.0,500.0
1978,태블릿,디지털/가전,12700.0,40300.0,18.5,314.0,0.16,0.85,15,3,2570.0,1940.0,1860.0,1610.0
1979,서보모터,디지털/가전,2990.0,2360.0,16.5,16.8,0.58,0.74,15,3,4020.0,3790.0,4650.0,4050.0
1980,고물연대,디지털/가전,1240.0,1850.0,11.2,35.7,0.94,2.02,4,1,120.0,100.0,120.0,90.0
1981,와이드모니터,디지털/가전,3570.0,5590.0,8.9,63.0,0.27,1.23,15,3,4190.0,900.0,2720.0,1580.0
1982,반도체장비,디지털/가전,950.0,1140.0,3.3,9.3,0.36,0.87,15,3,6500.0,5550.0,6840.0,6380.0
1983,LG모니터,디지털/가전,8390.0,23100.0,8.7,70.8,0.11,0.33,15,3,2130.0,1900.0,2970.0,2450.0
1984,PLC,디지털/가전,7470.0,8860.0,6.7,16.7,0.1,0.2,15,3,4000.0,3460.0,4700.0,4180.0
1985,모니터추천,디지털/가전,1410.0,1710.0,1.1,0.7,0.09,0.05,15,3,2760.0,2430.0,3390.0,2840.0
1986,삼성게이밍모니터,디지털/가전,920.0,2270.0,1.7,5.5,0.2,0.27,15,3,1840.0,890.0,1050.0,740.0
1987,HP모니터,디지털/가전,940.0,1310.0,0.9,10.4,0.1,0.85,15,3,3770.0,2650.0,4000.0,2860.0
1988,LG모니터27인치,디지털/가전,1100.0,1670.0,1.5,15.7,0.15,1.01,15,3,3580.0,1130.0,1660.0,1410.0
1989,144HZ모니터,디지털/가전,3330.0,8090.0,4.2,63.1,0.14,0.83,15,3,3430.0,930.0,1390.0,1170.0
1990,모니터32인치,디지털/가전,1440.0,2630.0,3.9,26.3,0.29,1.08,15,3,3480.0,2320.0,1640.0,1400.0
1991,모니터27인치,디지털/가전,1460.0,1870.0,2.3,13.1,0.17,0.75,15,3,3040.0,1890.0,1360.0,1280.0
1992,게이밍모니터추천,디지털/가전,1010.0,2130.0,4.1,21.8,0.44,1.1,15,3,2820.0,1590.0,1400.0,1140.0
1993,PC모니터,디지털/가전,970.0,1380.0,7.9,21.6,0.86,1.69,15,3,2310.0,1910.0,3370.0,3010.0
1994,32인치,디지털/가전,3380.0,9030.0,1.1,1.9,0.04,0.03,15,3,1920.0,1610.0,2060.0,1660.0
1995,LG4K모니터,디지털/가전,1080.0,1870.0,1.8,3.5,0.18,0.21,14,3,1320.0,1050.0,1120.0,670.0
1996,LG27인치모니터,디지털/가전,1440.0,4960.0,2.5,17.3,0.18,0.38,15,3,2880.0,800.0,1120.0,990.0
1997,LG32인치모니터,디지털/가전,1500.0,2660.0,1.9,28.1,0.14,1.13,15,3,1720.0,1530.0,1650.0,1370.0
1998,엘지모니터,디지털/가전,2060.0,3980.0,6.7,38.4,0.35,1.06,15,3,3000.0,1400.0,1530.0,1280.0
1999,가성비모니터,디지털/가전,960.0,1530.0,1.5,15.1,0.16,1.06,15,3,3340.0,2710.0,2770.0,2520.0
2000,LG게이밍모니터,디지털/가전,1900.0,4170.0,2.2,15.8,0.13,0.42,15,3,1620.0,1330.0,1530.0,1240.0
2001,QHD모니터,디지털/가전,2000.0,3280.0,4.3,5.0,0.23,0.17,15,3,1210.0,950.0,1250.0,1000.0
2002,22인치모니터,디지털/가전,1300.0,1830.0,2.5,17.0,0.2,1.0,15,3,2560.0,1840.0,2680.0,2190.0
2003,LG모니터32인치,디지털/가전,1050.0,1610.0,4.6,22.3,0.47,1.49,15,3,4010.0,2210.0,1890.0,1460.0
2004,LG와이드모니터,디지털/가전,970.0,1190.0,1.0,1.3,0.11,0.12,15,3,1100.0,570.0,650.0,560.0
2005,40인치모니터,디지털/가전,1300.0,1790.0,4.8,12.6,0.39,0.77,15,3,2330.0,1800.0,2180.0,1640.0
2006,24인치모니터,디지털/가전,6540.0,12000.0,6.4,58.1,0.11,0.52,15,3,5400.0,4860.0,8030.0,7060.0
2007,울트라와이드모니터,디지털/가전,1430.0,2110.0,2.3,14.6,0.18,0.75,15,3,3300.0,840.0,1540.0,1240.0
2008,32인치모니터,디지털/가전,9080.0,19400.0,13.9,122.0,0.17,0.68,15,3,4950.0,3700.0,5510.0,4060.0
2009,한성모니터,디지털/가전,4830.0,7320.0,6.7,47.7,0.15,0.71,15,3,4910.0,790.0,1680.0,1300.0
2010,모니터암,가구/인테리어,25700.0,36700.0,103.1,462.5,0.42,1.34,15,3,2710.0,2430.0,3220.0,2880.0
2011,20인치모니터,디지털/가전,840.0,1310.0,2.9,13.1,0.36,1.11,15,3,2190.0,540.0,900.0,720.0
2012,커브드모니터,디지털/가전,2250.0,5420.0,3.5,4.8,0.17,0.1,15,3,2230.0,1440.0,2870.0,1780.0
2013,LG24인치모니터,디지털/가전,970.0,1730.0,1.4,4.4,0.15,0.28,15,3,1530.0,1390.0,2080.0,1730.0
2014,모니터24인치,디지털/가전,1950.0,3870.0,6.9,50.0,0.37,1.46,15,3,3480.0,1560.0,2520.0,1980.0
2015,삼성27인치모니터,디지털/가전,930.0,1570.0,2.9,2.6,0.32,0.19,15,3,2400.0,800.0,2210.0,1000.0
2016,삼성커브드모니터,디지털/가전,840.0,1820.0,0.2,2.1,0.03,0.13,15,3,3240.0,560.0,2000.0,1770.0
2017,240HZ모니터,디지털/가전,1520.0,2520.0,2.0,7.0,0.15,0.3,15,3,3210.0,850.0,1040.0,870.0
2018,삼성24인치모니터,디지털/가전,840.0,1110.0,1.6,2.2,0.2,0.22,15,3,1130.0,740.0,1400.0,1150.0
2019,UHD모니터,디지털/가전,830.0,2860.0,1.9,12.1,0.25,0.45,15,3,3550.0,1330.0,1450.0,1300.0
2020,34인치모니터,디지털/가전,1560.0,2650.0,3.4,20.5,0.23,0.84,15,3,2230.0,1640.0,1800.0,1500.0
2021,듀얼모니터,디지털/가전,6590.0,8040.0,7.1,34.8,0.12,0.46,15,3,1950.0,1390.0,3340.0,2640.0
2022,4K모니터,디지털/가전,6370.0,14000.0,8.1,80.9,0.14,0.62,15,3,3930.0,1670.0,2820.0,2020.0
2023,울트라기어,디지털/가전,1320.0,1880.0,0.5,1.0,0.04,0.06,15,3,1910.0,1100.0,1110.0,810.0
2024,TV모니터,디지털/가전,1280.0,2750.0,6.7,42.5,0.56,1.69,15,3,2930.0,1490.0,1980.0,1550.0
2025,필립스모니터,디지털/가전,1130.0,1390.0,2.4,3.3,0.23,0.26,15,3,1110.0,540.0,780.0,640.0
2026,AOC모니터,디지털/가전,1470.0,2000.0,2.4,15.4,0.18,0.83,9,2,3250.0,440.0,1030.0,530.0
2027,애플모니터,디지털/가전,1360.0,3410.0,1.9,23.0,0.15,0.74,13,2,1400.0,740.0,1180.0,620.0
2028,CROSSOVER,디지털/가전,970.0,1270.0,0.6,0.3,0.07,0.03,7,2,940.0,280.0,480.0,370.0
2029,크로스오버모니터,디지털/가전,2070.0,2870.0,3.4,0.5,0.18,0.02,14,3,1840.0,470.0,820.0,520.0
2030,MONITOR,디지털/가전,2360.0,3770.0,0.7,2.6,0.04,0.08,14,3,690.0,510.0,610.0,580.0
2031,JBL,디지털/가전,5060.0,15400.0,5.1,15.4,0.11,0.11,15,3,1840.0,1320.0,2120.0,1390.0
2032,피벗모니터,디지털/가전,1600.0,2420.0,5.6,37.7,0.37,1.65,15,3,3110.0,1060.0,1350.0,1120.0
2033,서브모니터,디지털/가전,1000.0,1410.0,1.2,10.3,0.13,0.79,15,3,2260.0,1600.0,1330.0,1220.0
2034,보조모니터,디지털/가전,1770.0,2770.0,4.5,41.4,0.27,1.63,15,3,2060.0,1420.0,1410.0,1310.0
2035,노트북듀얼모니터,디지털/가전,2120.0,3620.0,4.3,36.0,0.21,1.06,15,3,1760.0,930.0,970.0,730.0
2036,윈도우태블릿,디지털/가전,1940.0,4400.0,7.3,80.7,0.4,1.99,15,3,2500.0,1800.0,860.0,680.0
2037,CONFERENCE,디지털/가전,3780.0,9130.0,0.3,0.0,0.01,0.0,14,3,1070.0,870.0,1220.0,1020.0
2038,타블렛,디지털/가전,4340.0,9130.0,8.5,85.7,0.21,1.02,15,3,4280.0,4000.0,5070.0,4760.0
2039,가성비태블릿,디지털/가전,2440.0,6830.0,5.3,40.5,0.23,0.65,15,3,2110.0,1500.0,2930.0,2360.0
2040,터치모니터,디지털/가전,1510.0,2300.0,16.8,26.5,1.16,1.25,15,3,21100.0,16960.0,23260.0,19270.0
2041,액정타블렛,디지털/가전,2010.0,5230.0,14.0,101.5,0.75,2.1,15,3,5200.0,3970.0,6290.0,4890.0
2042,LG컴퓨터,디지털/가전,820.0,1930.0,5.3,24.5,0.67,1.38,15,3,1340.0,930.0,1680.0,950.0
2043,태블릿추천,디지털/가전,1200.0,3630.0,3.1,38.0,0.27,1.14,15,3,4120.0,1840.0,6230.0,2430.0
2044,43인치모니터,디지털/가전,1420.0,2290.0,4.0,17.3,0.3,0.83,15,3,2900.0,2380.0,2830.0,1920.0
2045,조립PC,디지털/가전,12400.0,29600.0,426.7,1744.4,3.62,6.33,15,3,5070.0,4720.0,11660.0,10990.0
2046,엔코더,디지털/가전,1890.0,2070.0,6.9,19.1,0.38,0.95,15,3,4930.0,2950.0,3170.0,2810.0
2047,화상회의,디지털/가전,2590.0,1650.0,7.1,4.6,0.29,0.29,15,3,45410.0,42910.0,51730.0,48590.0
2048,LCD,디지털/가전,2970.0,4410.0,3.7,10.2,0.13,0.25,15,3,2760.0,2720.0,2880.0,2810.0
2049,복합기,디지털/가전,7290.0,20000.0,39.0,97.0,0.56,0.51,15,3,4820.0,3850.0,8490.0,6450.0
2050,HP프린터,디지털/가전,8020.0,6620.0,37.8,30.5,0.49,0.5,15,3,3970.0,2600.0,4870.0,3110.0
2051,의자,생활/건강,29000.0,77900.0,157.6,711.7,0.58,0.99,15,3,2200.0,1740.0,3390.0,3000.0
2052,프린터,디지털/가전,13100.0,26200.0,21.1,17.3,0.17,0.07,15,3,4480.0,3210.0,5860.0,4300.0
2053,수납장,생활/건강,14900.0,75300.0,62.9,876.5,0.45,1.26,15,3,1830.0,1530.0,2110.0,1850.0
2054,복사기,디지털/가전,2170.0,4130.0,16.9,60.6,0.81,1.55,15,3,4440.0,3390.0,6950.0,5510.0
2055,팩스복합기,디지털/가전,890.0,2490.0,5.5,39.8,0.64,1.71,15,3,4560.0,3300.0,5610.0,4760.0
2056,프린터기,디지털/가전,4130.0,12900.0,5.1,10.2,0.13,0.09,15,3,3050.0,2800.0,2940.0,2530.0
2057,침대프레임,가구/인테리어,16700.0,120500.0,118.2,1462.3,0.74,1.3,15,3,3250.0,3030.0,3850.0,3600.0
2058,가정용프린터기,디지털/가전,1450.0,5760.0,10.1,91.8,0.73,1.71,15,3,3420.0,1600.0,2910.0,2280.0
2059,전기밥솥,디지털/가전,5890.0,41700.0,32.4,676.5,0.58,1.75,15,3,3110.0,2960.0,2930.0,2680.0
2060,무한잉크복합기,디지털/가전,1930.0,4270.0,18.3,68.8,0.98,1.72,15,3,4660.0,4040.0,6830.0,4920.0
2061,프린트,디지털/가전,5380.0,27000.0,15.3,74.3,0.3,0.3,15,3,2620.0,2150.0,3800.0,2570.0
2062,가스렌지,디지털/가전,3370.0,16400.0,13.9,303.8,0.44,1.99,15,3,3350.0,1300.0,1370.0,1190.0
2063,책상,가구/인테리어,25200.0,93400.0,164.3,1278.2,0.69,1.49,15,3,2270.0,2040.0,2860.0,2590.0
2064,팩스,디지털/가전,4760.0,8300.0,25.8,43.7,0.56,0.55,15,3,9500.0,7110.0,15020.0,11200.0
2065,파티션,디지털/가전,23000.0,67900.0,262.9,999.7,1.17,1.58,15,3,3790.0,2820.0,15110.0,11800.0
2066,3인용소파,디지털/가전,1180.0,6380.0,12.9,88.0,1.13,1.5,15,3,3340.0,3120.0,2860.0,2690.0
2067,세탁기,디지털/가전,22300.0,110000.0,70.9,1613.3,0.34,1.59,15,3,10950.0,4060.0,7890.0,3620.0
2068,냉온수기,디지털/가전,1850.0,4140.0,5.7,39.8,0.32,1.02,15,3,11700.0,8150.0,10260.0,6700.0
2069,퀸침대,가구/인테리어,3940.0,30900.0,50.0,709.2,1.34,2.5,15,3,3350.0,3210.0,4590.0,4220.0
2070,슈퍼싱글침대,가구/인테리어,5360.0,40400.0,37.5,658.9,0.73,1.79,15,3,4430.0,3300.0,4370.0,3900.0
2071,스캐너,디지털/가전,4950.0,8810.0,7.2,54.4,0.16,0.66,15,3,6540.0,3100.0,9570.0,4330.0
2072,보조책상,가구/인테리어,930.0,1670.0,3.2,15.7,0.36,1.03,15,3,1450.0,930.0,2020.0,1610.0
2073,PC,디지털/가전,5930.0,14800.0,28.0,150.4,0.5,1.11,15,3,9920.0,3080.0,12420.0,6790.0
2074,라디에이터,디지털/가전,21800.0,82200.0,104.1,1229.2,0.49,1.57,15,3,1760.0,1420.0,2290.0,1470.0
2075,레이저복합기,디지털/가전,1820.0,8300.0,4.9,10.4,0.28,0.14,15,3,4450.0,2720.0,7460.0,5570.0
2076,프린트기,디지털/가전,2590.0,9310.0,11.6,106.0,0.47,1.22,15,3,2950.0,2490.0,2680.0,1360.0
2077,신도리코복합기,디지털/가전,2690.0,920.0,10.2,21.9,0.4,2.49,15,3,7250.0,5620.0,8510.0,6700.0
2078,무한잉크,디지털/가전,1390.0,2640.0,10.4,20.0,0.79,0.81,15,3,3750.0,2520.0,9200.0,4830.0
2079,컬러레이저복합기,디지털/가전,990.0,2220.0,2.4,13.1,0.26,0.64,15,3,4570.0,3160.0,6600.0,5410.0
2080,의자추천,디지털/가전,1720.0,5920.0,19.7,148.6,1.22,2.69,15,3,1970.0,1660.0,2820.0,2490.0
2081,레이저프린터,디지털/가전,6790.0,19700.0,10.4,14.7,0.16,0.08,15,3,2420.0,1650.0,5730.0,3310.0
2082,A3프린터,디지털/가전,1400.0,2060.0,6.8,30.5,0.51,1.59,15,3,5890.0,3210.0,6720.0,4690.0
2083,싱글침대,가구/인테리어,6560.0,54200.0,38.8,835.2,0.62,1.68,15,3,3240.0,2480.0,4080.0,2720.0
2084,침대추천,가구/인테리어,1530.0,6270.0,16.5,124.4,1.12,2.18,15,3,3110.0,2450.0,4490.0,3770.0
2085,엡손무한잉크,디지털/가전,1000.0,2230.0,5.3,22.8,0.56,1.09,15,3,2920.0,1790.0,4510.0,4030.0
2086,HP복합기,디지털/가전,1300.0,1830.0,5.9,13.7,0.47,0.81,15,3,4440.0,3060.0,5300.0,4460.0
2087,삼성레이저복합기,디지털/가전,1480.0,3620.0,1.5,16.0,0.11,0.47,15,3,4620.0,3590.0,5520.0,4140.0
2088,프린터잉크,디지털/가전,1460.0,3990.0,15.8,50.7,1.15,1.35,15,3,2260.0,1760.0,7010.0,2480.0
2089,컬러프린터,디지털/가전,820.0,2000.0,1.1,10.3,0.14,0.56,15,3,3640.0,3000.0,5980.0,5000.0
2090,삼성복합기스캔,디지털/가전,1400.0,890.0,2.2,1.8,0.17,0.22,14,3,2830.0,590.0,1030.0,780.0
2091,엡손프린터,디지털/가전,4420.0,4050.0,3.5,22.9,0.09,0.61,15,3,3810.0,1790.0,1780.0,1560.0
2092,컬러레이저프린터,디지털/가전,1230.0,4140.0,2.5,17.4,0.22,0.46,15,3,4120.0,3140.0,7040.0,5000.0
2093,2X,디지털/가전,2520.0,12900.0,6.1,3.5,0.25,0.03,13,2,1000.0,690.0,1140.0,920.0
2094,교세라,디지털/가전,4090.0,3370.0,1.9,2.0,0.05,0.07,15,3,3320.0,1860.0,3540.0,1940.0
2095,KYOCERA,디지털/가전,1240.0,930.0,1.7,9.7,0.15,1.12,15,3,2420.0,1260.0,1460.0,820.0
2096,EPSON프린터,디지털/가전,2140.0,1990.0,2.1,8.5,0.11,0.45,15,3,3480.0,1790.0,3400.0,860.0
2097,엡손,디지털/가전,9710.0,3960.0,0.9,0.0,0.02,0.0,15,3,1870.0,880.0,1250.0,970.0
2098,FAX,디지털/가전,1080.0,2160.0,1.1,3.8,0.11,0.19,15,3,4400.0,2080.0,5300.0,3990.0
2099,브라더복합기,디지털/가전,960.0,1440.0,1.5,2.6,0.16,0.19,15,3,4150.0,2550.0,5390.0,3820.0
2100,캐논,디지털/가전,41700.0,39600.0,2.7,14.7,0.01,0.04,15,3,2010.0,1060.0,1190.0,850.0
2101,레이저프린터토너,디지털/가전,840.0,1950.0,6.1,41.0,0.77,2.24,15,3,4150.0,3510.0,4220.0,3790.0
2102,삼성레이저프린터,디지털/가전,2300.0,6210.0,2.3,40.0,0.11,0.7,15,3,3930.0,2030.0,4600.0,3610.0
2103,캐논복합기,디지털/가전,3520.0,4570.0,9.7,20.5,0.29,0.48,15,3,5020.0,4180.0,5650.0,4570.0
