,연관키워드,type,월간검색수_PC,월간검색수_모바일,월평균클릭수_PC,월평균클릭수_모바일,월평균클릭률_PC,월평균클릭률_모바일,월평균노출광고수,경쟁정도,입찰가_m1,입찰가_m2,입찰가_p1,입찰가_p2
33,여자쇼핑몰,패션의류,3020.0,10900.0,85.3,395.3,2.96,3.92,15,3,800.0,630.0,590.0,540.0
34,20대여자쇼핑몰,패션의류,1300.0,5780.0,42.8,261.9,3.48,4.98,15,3,1860.0,870.0,790.0,650.0
35,여름원피스,패션의류,2820.0,29600.0,61.7,556.5,2.28,2.05,15,3,6880.0,1350.0,8040.0,820.0
36,하객원피스,패션의류,6740.0,60200.0,137.3,986.2,2.1,1.77,15,3,7040.0,1280.0,7630.0,1090.0
37,샌들,패션잡화,1690.0,8440.0,7.7,37.0,0.49,0.48,15,3,1570.0,900.0,3030.0,830.0
38,미니원피스,패션의류,1400.0,15600.0,12.1,142.3,0.9,1.0,15,3,1700.0,890.0,590.0,500.0
39,하객룩,패션의류,15600.0,102500.0,302.8,2355.0,1.99,2.5,15,3,6970.0,1320.0,8920.0,1020.0
40,셔츠원피스,패션의류,1010.0,12200.0,2.7,10.5,0.28,0.1,15,3,1240.0,940.0,560.0,510.0
41,드레스대여,패션의류,1520.0,13300.0,42.7,545.0,2.9,4.37,15,3,1610.0,1300.0,1630.0,1300.0
42,겨울원피스,패션의류,7060.0,82700.0,70.0,724.8,1.03,0.94,15,3,7560.0,1420.0,10570.0,880.0
43,여성의류쇼핑몰,패션의류,5620.0,54700.0,227.0,2539.1,4.27,5.06,15,3,1010.0,750.0,840.0,620.0
44,트위드원피스,패션의류,4740.0,47300.0,20.9,59.2,0.46,0.14,15,3,1290.0,810.0,780.0,590.0
45,블라우스,패션의류,4680.0,42800.0,33.1,205.5,0.75,0.53,15,3,7410.0,1050.0,9820.0,980.0
46,여자원피스,패션의류,830.0,4870.0,9.3,34.0,1.18,0.76,15,3,27670.0,1120.0,30370.0,770.0
47,상견례원피스,패션의류,1190.0,11900.0,10.9,158.2,0.94,1.37,15,3,1110.0,710.0,510.0,410.0
48,여자청바지,패션의류,1600.0,16000.0,25.7,152.0,1.67,1.04,15,3,8320.0,1450.0,8990.0,1220.0
49,30대여성쇼핑몰,패션의류,2110.0,17900.0,66.9,729.3,3.3,4.43,15,3,1090.0,850.0,780.0,690.0
50,여성블라우스,패션의류,980.0,13400.0,13.7,85.6,1.46,0.7,15,3,7860.0,1250.0,9490.0,930.0
51,스커트,패션의류,3210.0,30800.0,10.0,116.5,0.33,0.42,15,3,9380.0,910.0,11040.0,980.0
52,바디수트,스포츠/레저,840.0,7790.0,6.3,5.4,0.79,0.08,15,3,1630.0,700.0,710.0,630.0
53,점프수트,패션의류,2160.0,17800.0,4.5,11.6,0.23,0.08,15,3,1180.0,610.0,680.0,570.0
54,여성가디건,패션잡화,4480.0,44800.0,43.1,246.3,1.01,0.61,15,3,9610.0,1190.0,11790.0,1720.0
55,여성바지,패션의류,1510.0,15300.0,16.5,119.1,1.14,0.85,15,3,9070.0,2900.0,10110.0,2870.0
56,하객룩쇼핑몰,패션의류,1140.0,4660.0,61.7,236.9,5.52,5.45,15,3,6930.0,1140.0,7960.0,550.0
57,여성자켓,패션의류,3870.0,44300.0,28.7,185.8,0.78,0.46,15,3,11130.0,3910.0,11950.0,4760.0
58,가디건,패션잡화,13200.0,118700.0,34.1,353.5,0.27,0.33,15,3,10570.0,2260.0,10850.0,1730.0
59,뷔스티에원피스,패션의류,2060.0,22900.0,7.7,91.8,0.39,0.44,15,3,1170.0,840.0,580.0,470.0
60,가을원피스,패션의류,2270.0,27300.0,23.5,228.4,1.11,0.94,15,3,7670.0,1280.0,12250.0,910.0
61,가을옷,패션의류,1310.0,8350.0,8.6,136.2,0.7,1.81,15,3,8640.0,1190.0,12220.0,1160.0
62,플리츠원피스,패션의류,950.0,12100.0,11.1,108.5,1.23,0.98,15,3,1560.0,830.0,2160.0,990.0
63,핸드메이드코트,패션잡화,8620.0,84000.0,121.8,1335.0,1.46,1.72,15,3,920.0,810.0,1200.0,940.0
64,가죽자켓,패션의류,6930.0,76100.0,80.1,673.3,1.22,0.97,15,3,8640.0,1060.0,11730.0,1660.0
65,정장원피스,패션의류,1230.0,14600.0,31.3,257.6,2.61,1.91,15,3,1660.0,810.0,1110.0,830.0
66,KL,패션의류,1290.0,5160.0,15.7,112.8,1.26,2.38,15,3,1880.0,590.0,2640.0,450.0
67,롱스커트,패션의류,2730.0,35100.0,13.6,115.6,0.52,0.36,15,3,9380.0,1420.0,10650.0,1100.0
68,니트원피스,패션의류,8890.0,117100.0,51.0,507.1,0.6,0.47,15,3,1500.0,820.0,770.0,670.0
69,20대하객룩,패션의류,950.0,5290.0,21.7,135.3,2.35,2.77,15,3,7490.0,1170.0,8230.0,420.0
70,의류브랜드,패션의류,1110.0,3200.0,1.1,9.5,0.11,0.32,15,3,3090.0,710.0,3910.0,800.0
71,여성복,패션의류,1280.0,4240.0,19.6,53.3,1.6,1.36,15,3,850.0,410.0,540.0,460.0
72,여성오피스룩,패션의류,1000.0,6270.0,59.8,221.1,6.31,3.86,15,3,7010.0,1140.0,8290.0,910.0
73,오프숄더,패션의류,1350.0,8740.0,1.5,0.7,0.12,0.01,15,3,750.0,460.0,540.0,410.0
74,수영복,패션의류,14800.0,105700.0,243.4,1845.7,1.71,1.88,15,3,1880.0,1100.0,3230.0,1610.0
75,스판덱스,패션의류,1100.0,1410.0,0.3,0.7,0.04,0.06,9,2,950.0,340.0,550.0,440.0
76,시밀러룩,패션의류,4140.0,39700.0,112.7,1219.6,2.85,3.31,15,3,1510.0,710.0,800.0,510.0
77,시스루,패션의류,1440.0,8350.0,1.5,4.0,0.11,0.06,15,3,1030.0,430.0,440.0,360.0
78,등산복,스포츠/레저,8280.0,54700.0,65.9,750.0,0.83,1.47,15,3,1470.0,1090.0,1700.0,1240.0
79,래쉬가드,패션의류,6580.0,50100.0,114.9,781.3,1.82,1.7,15,3,1890.0,1560.0,1350.0,1180.0
80,루즈핏,패션의류,1460.0,8710.0,1.4,9.3,0.11,0.12,15,3,1140.0,750.0,520.0,460.0
81,77사이즈,패션의류,1110.0,7050.0,36.7,326.1,3.42,5.0,15,3,1180.0,920.0,1090.0,830.0
82,힙플라스크,패션의류,1040.0,4120.0,0.8,1.7,0.08,0.05,13,2,960.0,470.0,650.0,560.0
83,의류,패션의류,2400.0,4340.0,6.4,6.4,0.28,0.16,15,3,1110.0,520.0,580.0,470.0
84,트위드,패션의류,3400.0,18600.0,4.3,19.8,0.14,0.12,15,3,8690.0,930.0,10310.0,850.0
85,옷브랜드,패션의류,1510.0,9300.0,3.5,102.6,0.25,1.2,15,3,720.0,400.0,500.0,400.0
86,누빔자켓,패션의류,2470.0,21800.0,8.5,41.3,0.36,0.21,15,3,1520.0,810.0,860.0,570.0
87,펌프스,패션의류,1340.0,9240.0,8.3,55.5,0.66,0.66,15,3,1620.0,890.0,2640.0,830.0
88,조끼,스포츠/레저,7140.0,55600.0,36.9,147.0,0.54,0.29,15,3,4400.0,2130.0,5810.0,3510.0
89,치마레깅스,패션의류,1270.0,14100.0,17.4,303.3,1.43,2.31,15,3,1860.0,1400.0,1520.0,1240.0
90,카라맨투맨,패션의류,830.0,6580.0,1.7,7.3,0.22,0.13,15,3,1150.0,750.0,480.0,440.0
91,케이프코트,패션의류,2870.0,32800.0,8.3,77.2,0.3,0.26,15,3,1490.0,710.0,680.0,550.0
92,여성경량롱패딩,패션의류,1230.0,12700.0,8.3,41.7,0.7,0.35,15,3,1130.0,900.0,1020.0,780.0
93,여성울자켓,패션의류,1590.0,15700.0,9.5,59.6,0.62,0.41,15,3,1090.0,640.0,730.0,650.0
94,부클가디건,패션의류,940.0,10800.0,2.1,13.1,0.23,0.14,15,3,950.0,620.0,770.0,490.0
