,연관키워드,월간검색수_PC,월간검색수_모바일,월평균클릭수_PC,월평균클릭수_모바일,월평균클릭률_PC,월평균클릭률_모바일,월평균노출광고수,경쟁정도,키워드,입찰가_모바일_1위
194,남성니트,2840.0,15100.0,21.4,84.7,0.79,0.61,15,3,남성니트,1570.0
195,남자가디건,6700.0,46300.0,32.7,236.8,0.52,0.56,15,3,남자가디건,1010.0
196,여성가디건,4480.0,44800.0,43.1,246.3,1.01,0.61,15,3,여성가디건,9610.0
197,남성가디건,2240.0,11400.0,14.3,99.0,0.66,0.94,15,3,남성가디건,1030.0
198,남자스웨터,1190.0,5880.0,8.1,37.0,0.72,0.68,15,3,남자스웨터,2010.0
199,남자코트,9290.0,54900.0,41.6,398.5,0.48,0.78,15,3,남자코트,1440.0
200,남자청자켓,1010.0,8340.0,5.5,44.8,0.58,0.59,15,3,남자청자켓,1270.0
201,남자니트조끼,1510.0,9490.0,6.5,33.5,0.46,0.39,15,3,남자니트조끼,1430.0
202,까르뜨블랑슈,1210.0,4560.0,3.8,28.2,0.34,0.68,15,3,까르뜨블랑슈,1710.0
203,남자아우터,4010.0,17700.0,39.2,237.2,1.02,1.42,15,3,남자아우터,1690.0
204,남자니트브랜드,1130.0,5470.0,3.4,1.3,0.31,0.03,15,3,남자니트브랜드,1010.0
205,남성자켓,4040.0,19400.0,35.3,130.0,0.92,0.73,15,3,남성자켓,2010.0
206,여자가디건,1210.0,10200.0,7.9,18.3,0.69,0.2,15,3,여자가디건,8870.0
207,남성티셔츠,2940.0,17800.0,23.9,130.3,0.86,0.8,15,3,남성티셔츠,1420.0
208,니트가디건,3650.0,41300.0,24.7,184.0,0.71,0.49,15,3,니트가디건,10330.0
209,블라우스,4680.0,42800.0,33.1,205.5,0.75,0.53,15,3,블라우스,7410.0
210,남자터틀넥,1010.0,4760.0,3.6,21.7,0.38,0.51,15,3,남자터틀넥,1610.0
211,명품사이트,3620.0,19300.0,84.5,790.8,2.46,4.44,15,3,명품사이트,8310.0
212,남성코트,3110.0,16400.0,15.1,142.2,0.52,0.94,15,3,남성코트,1070.0
213,남자캐시미어니트,1010.0,6400.0,8.5,42.0,0.87,0.7,15,3,남자캐시미어니트,1620.0
214,남자폴라티,1140.0,6130.0,9.4,63.8,0.85,1.13,15,3,남자폴라티,1260.0
215,남자조끼,1600.0,10600.0,5.9,40.3,0.38,0.41,15,3,남자조끼,1620.0
216,남자목티,1470.0,8420.0,12.1,80.3,0.87,1.03,15,3,남자목티,1860.0
217,남자목폴라,2100.0,11600.0,11.8,73.7,0.59,0.68,15,3,남자목폴라,1150.0
218,남자가을코디,1650.0,6900.0,13.1,96.7,0.85,1.53,15,3,남자가을코디,1480.0
219,오버핏니트,1220.0,9790.0,3.9,10.6,0.33,0.12,15,3,오버핏니트,1030.0
220,남자집업가디건,1190.0,5040.0,4.4,17.9,0.39,0.39,15,3,남자집업가디건,1750.0
221,남자니트집업,1030.0,9580.0,5.7,72.0,0.58,0.8,15,3,남자니트집업,1390.0
222,남성조끼,1420.0,7780.0,9.6,42.1,0.7,0.59,15,3,남성조끼,1450.0
223,꽈배기니트,2740.0,27000.0,8.4,36.0,0.32,0.15,15,3,꽈배기니트,1240.0
224,폴로꽈배기니트,1420.0,15100.0,6.5,84.7,0.48,0.61,15,3,폴로꽈배기니트,1650.0
225,반집업니트,3330.0,27100.0,17.9,365.1,0.56,1.45,15,3,반집업니트,870.0
226,브이넥니트,2710.0,31700.0,7.5,45.9,0.29,0.16,15,3,브이넥니트,1270.0
227,터틀넥,4500.0,22800.0,8.6,56.9,0.2,0.27,15,3,터틀넥,1160.0
228,져지,1110.0,5700.0,1.2,2.3,0.12,0.05,15,3,져지,1230.0
229,니트집업,3430.0,26600.0,8.3,104.3,0.26,0.43,15,3,니트집업,1170.0
230,남자긴팔티셔츠,1310.0,7060.0,7.4,47.4,0.6,0.74,15,3,남자긴팔티셔츠,1990.0
