,연관키워드,월간검색수_PC,월간검색수_모바일,월평균클릭수_PC,월평균클릭수_모바일,월평균클릭률_PC,월평균클릭률_모바일,월평균노출광고수,경쟁정도
175,쿨마스크,170.0,1530.0,0.7,22.9,0.47,1.58,15,3
176,매쉬마스크,100.0,290.0,0.1,3.8,0.14,1.42,15,3
177,방수마스크,720.0,5030.0,1.7,85.5,0.26,1.84,15,3
178,시원한마스크,10.0,100.0,0.1,1.8,0.42,1.89,15,3
179,운동용마스크,250.0,1040.0,0.8,24.0,0.34,2.43,15,3
180,자전거마스크,1640.0,4780.0,5.7,93.2,0.39,2.11,15,3
181,마스크가격,130.0,550.0,0.5,16.0,0.39,3.02,15,3
182,3M마스크,710.0,2560.0,2.5,69.8,0.38,2.89,15,3
183,어린이면마스크,20.0,270.0,0.1,4.0,0.52,1.49,15,3
184,아이돌마스크,30.0,330.0,0.1,2.7,0.2,0.86,15,3
185,성인마스크,60.0,690.0,0.3,8.7,0.44,1.29,15,3
186,사회적기업마스크,10.0,20.0,0.3,0.3,2.67,0.9,15,3
187,K80마스크,10.0,60.0,0.5,0.8,3.56,1.12,15,3
188,중형마스크,590.0,7850.0,3.2,122.1,0.57,1.65,15,3
189,KF94마스크블랙,60.0,420.0,0.3,11.1,0.44,2.79,15,3
190,수능마스크,570.0,3240.0,1.9,15.6,0.35,0.5,15,3
191,검정마스크대형,10.0,80.0,0.0,1.0,0.0,1.36,15,3
192,산업용마스크,250.0,790.0,0.9,11.3,0.36,1.53,15,3
193,약국일회용마스크,20.0,210.0,0.0,0.0,0.0,0.0,15,3
194,마스크일회용,20.0,390.0,0.0,8.4,0.0,2.31,15,3
195,필터마스크,90.0,430.0,0.1,6.6,0.08,1.66,15,3
196,일회용마스크블랙,80.0,710.0,0.7,10.3,0.93,1.51,15,3
197,연예인마스크,620.0,4150.0,3.9,80.0,0.67,2.07,15,3
198,작은얼굴마스크,40.0,410.0,0.2,8.4,0.46,2.19,15,3
199,이너마스크,30.0,330.0,0.3,6.5,1.15,2.1,15,3
200,원데이마스크,50.0,290.0,0.5,11.8,0.81,4.29,15,3
201,닥터마스크,80.0,440.0,0.0,0.7,0.0,0.16,3,3
202,KF80대형,10.0,230.0,0.0,1.5,0.0,0.63,15,3
203,청소년마스크,30.0,200.0,0.1,8.3,0.4,4.35,15,3
204,편의점마스크,190.0,3130.0,0.1,1.0,0.08,0.04,15,3
205,약국덴탈마스크,20.0,370.0,0.0,0.3,0.0,0.1,3,3
206,얇은일회용마스크,10.0,120.0,0.2,4.4,1.82,3.99,15,3
207,의료마스크,10.0,70.0,0.0,0.0,0.0,0.0,15,3
208,일회용마스크국산,10.0,70.0,0.0,0.0,0.0,0.0,14,3
209,마스크100,20.0,160.0,0.0,0.5,0.0,0.32,15,3
210,낱개포장마스크,10.0,90.0,0.3,0.9,2.23,1.0,15,3
211,대용량마스크,20.0,180.0,0.1,0.0,0.46,0.0,15,3
212,덴탈마스크핑크,20.0,170.0,0.0,4.0,0.0,2.55,15,3
213,MASK,1140.0,3410.0,0.8,2.9,0.08,0.1,10,2
214,빅사이즈마스크,200.0,1250.0,1.9,37.6,1.02,3.15,15,3
215,필터교체마스크,50.0,200.0,0.1,3.6,0.15,1.87,15,3
216,방한대,120.0,260.0,0.1,0.3,0.06,0.13,15,3
217,일회용마스크검정,20.0,180.0,0.1,3.5,0.38,2.1,15,3
218,남자마스크,130.0,740.0,1.5,7.0,1.15,1.0,15,3
219,등산용마스크,90.0,480.0,0.9,16.3,1.17,3.61,15,3
220,천마스크,970.0,6950.0,6.3,231.2,0.68,3.52,15,3
221,K마스크,80.0,580.0,0.3,8.0,0.33,1.41,15,3
222,마스크할인,10.0,70.0,0.0,0.3,0.0,0.42,15,3
223,이쁜마스크,40.0,420.0,0.3,18.7,0.93,4.77,15,3
224,마스크가격비교,10.0,20.0,0.1,1.0,1.34,4.69,15,3
225,얼굴마스크,250.0,1620.0,0.7,11.7,0.28,0.77,15,3
226,숨쉬는마스크,50.0,450.0,0.0,7.3,0.0,1.78,15,3
227,빅마스크,20.0,210.0,0.1,5.8,0.25,2.81,15,3
228,블랙일회용마스크,10.0,120.0,0.2,2.3,1.67,1.94,15,3
229,슬림핏마스크,90.0,900.0,0.7,15.9,0.71,1.86,15,3
230,단체마스크,10.0,50.0,0.5,1.8,3.34,3.73,15,3
231,칼라마스크,160.0,1200.0,2.2,46.5,1.36,4.12,15,3
232,얼굴큰사람마스크,30.0,310.0,0.3,10.3,0.87,3.38,15,3
233,메쉬마스크,70.0,290.0,0.2,2.5,0.31,0.94,15,3
234,간지마스크,10.0,50.0,0.0,1.0,0.0,1.93,5,2
235,어린이94마스크,10.0,70.0,0.1,2.0,0.56,2.9,15,3
236,마스크주문,10.0,60.0,0.2,2.8,1.43,4.51,15,3
237,검은색일회용마스크,10.0,130.0,0.1,2.3,0.56,1.75,15,3
238,마스크대량,20.0,40.0,0.4,0.6,2.23,1.66,15,3
239,편한마스크,150.0,560.0,1.1,10.7,0.8,2.09,15,3
240,KF95마스크,10.0,80.0,0.1,0.3,0.48,0.38,15,3
241,마스크업체,30.0,50.0,0.1,0.0,0.21,0.0,15,3
242,마스크특대,80.0,350.0,0.3,7.0,0.38,2.11,15,3
243,홍보용마스크,10.0,10.0,0.5,1.5,3.89,8.83,15,3
244,마스크제조,20.0,20.0,0.1,3.1,0.29,13.89,15,3
245,마스크MB필터,10.0,40.0,0.0,0.0,0.0,0.0,14,3
246,마스크선물,10.0,20.0,0.0,0.0,0.0,0.0,15,3
247,4중마스크,10.0,110.0,0.1,0.3,1.49,0.3,15,3
248,마스크낱개포장,10.0,50.0,0.0,1.7,0.0,3.49,15,3
249,패션마스크,1000.0,10700.0,7.2,101.4,0.76,0.98,15,3
250,대두마스크,110.0,560.0,0.7,14.3,0.68,2.73,15,3
251,3M마스크필터,90.0,270.0,0.4,4.1,0.44,1.59,15,3
252,PLA마스크,70.0,50.0,0.8,1.0,1.25,1.83,15,3
253,무봉제마스크,10.0,40.0,0.0,0.0,0.0,0.0,3,3
254,가벼운마스크,30.0,190.0,0.6,7.0,1.63,3.81,15,3
255,얼굴작은사람마스크,10.0,170.0,0.3,2.5,3.34,1.62,15,3
256,귀보호마스크,10.0,30.0,0.0,0.3,0.0,1.27,15,3
257,극세사마스크,10.0,80.0,0.7,0.0,4.77,0.0,3,3
258,큰마스크,100.0,760.0,0.3,10.8,0.28,1.47,15,3
259,레이스마스크,30.0,220.0,0.0,0.3,0.0,0.17,3,3
260,365마스크,40.0,260.0,0.1,0.7,0.32,0.26,15,3
261,KF95,70.0,200.0,0.2,0.0,0.29,0.0,15,3
262,입마스크,30.0,210.0,0.3,2.3,0.79,1.09,15,3
263,자수마스크,40.0,210.0,0.0,0.3,0.0,0.17,3,3
264,재활용마스크,30.0,130.0,0.0,4.0,0.0,3.11,15,3
265,케어온마스크,80.0,490.0,1.1,8.0,1.39,1.67,15,3
266,크리넥스KF94,430.0,2680.0,1.8,23.5,0.45,0.92,15,3
267,크리넥스건강마스크,100.0,610.0,0.1,11.0,0.13,1.9,15,3
268,파란색마스크,70.0,530.0,0.7,9.3,0.88,1.84,15,3
269,폴리마스크,60.0,370.0,0.1,0.6,0.26,0.17,15,3
270,안면보호마스크,270.0,1550.0,0.3,19.1,0.13,1.26,15,3
271,어린이마스크KF94,120.0,1560.0,1.2,26.3,1.07,1.8,15,3
272,반영구마스크,10.0,40.0,0.0,0.0,0.0,0.0,15,3
273,세이프마스크,50.0,250.0,0.1,4.4,0.25,1.93,15,3
274,세탁가능마스크,10.0,30.0,0.3,0.3,3.34,1.1,15,3
275,스키마스크,240.0,850.0,0.3,5.3,0.12,0.65,15,3
276,스타일마스크,30.0,140.0,0.0,1.2,0.0,0.87,15,3
277,스판마스크,20.0,100.0,0.2,4.5,0.84,4.79,15,3
278,마스크착용,950.0,1650.0,0.0,0.0,0.0,0.0,13,2
279,겨울용마스크,90.0,650.0,2.7,7.2,3.0,1.15,15,3
280,꽃마스크,10.0,190.0,0.0,0.6,0.0,0.37,11,2
281,꽃무늬마스크,30.0,400.0,0.2,7.6,0.53,2.05,15,3
282,다회용마스크,260.0,1110.0,2.4,21.5,0.98,2.04,15,3
283,라이딩마스크,210.0,1210.0,0.8,22.0,0.39,1.96,15,3
284,4중필터마스크,10.0,70.0,0.1,1.5,0.42,2.31,15,3
285,마스크제조사,10.0,20.0,0.1,0.3,0.56,1.54,15,3
286,특대형마스크,1600.0,18600.0,13.9,222.8,0.93,1.24,15,3
287,숨쉬기쉬운마스크,20.0,80.0,0.1,0.8,0.58,1.0,15,3
288,이중마스크,10.0,90.0,0.0,0.3,0.0,0.42,15,3
289,레이마스크,50.0,180.0,0.3,1.3,0.52,0.74,15,3
290,3중구조일회용마스크,10.0,130.0,0.0,0.0,0.0,0.0,3,3
291,DENTALMASK,10.0,30.0,0.0,0.0,0.0,0.0,3,3
292,MB마스크,20.0,110.0,0.0,0.3,0.0,0.23,15,3
293,두꺼운마스크,30.0,280.0,0.5,5.3,1.53,1.95,15,3
294,수술마스크,20.0,80.0,0.0,0.3,0.0,0.4,3,3
295,안경김서림마스크,10.0,50.0,0.3,0.0,3.71,0.0,3,3
296,일회용마스크앞뒤,130.0,1810.0,0.0,0.0,0.0,0.0,3,3
297,네오프렌마스크,50.0,250.0,0.1,4.1,0.3,1.77,15,3
298,일회용검정마스크,50.0,580.0,0.6,9.3,1.12,1.63,15,3
299,입체형마스크,80.0,470.0,0.3,6.2,0.37,1.39,15,3
300,마스크특가,30.0,100.0,0.6,2.3,1.77,2.23,15,3
301,안경김서림방지마스크,30.0,340.0,0.4,4.3,1.25,1.32,15,3
302,슬림마스크,30.0,250.0,0.1,2.9,0.18,1.19,15,3
303,김안서리는마스크,10.0,110.0,0.1,1.2,0.42,1.03,15,3
304,인쇄마스크,120.0,190.0,2.2,4.1,1.79,2.29,15,3
305,브랜드마스크,30.0,150.0,0.2,1.7,0.67,1.11,15,3
306,주문제작마스크,10.0,30.0,0.8,0.8,6.67,2.16,15,3
307,일회용마스크KF,40.0,330.0,0.2,4.5,0.49,1.41,15,3
308,마스크로고인쇄,30.0,40.0,1.9,2.2,5.84,4.97,15,3
309,KF94마스크가격,20.0,60.0,0.2,3.8,0.96,6.47,15,3
310,병원마스크,40.0,280.0,0.1,3.2,0.18,1.22,15,3
311,KF90,40.0,140.0,0.0,0.0,0.0,0.0,3,3
312,수술용덴탈마스크,20.0,140.0,0.0,0.0,0.0,0.0,5,2
313,고급마스크,20.0,130.0,0.3,3.7,1.52,2.91,15,3
314,숨쉬기좋은마스크,20.0,70.0,0.3,1.3,1.22,1.67,15,3
315,크리넥스스타일마스크블랙,10.0,220.0,0.1,2.3,0.42,1.05,15,3
316,통풍마스크,30.0,160.0,0.0,2.0,0.0,1.29,15,3
317,KF-94,100.0,50.0,0.1,0.0,0.13,0.0,15,3
318,제작마스크,10.0,40.0,0.3,1.9,1.91,4.41,15,3
319,유한마스크,50.0,170.0,0.1,1.5,0.24,0.91,15,3
320,약국마스크가격,40.0,320.0,0.0,0.3,0.0,0.12,15,3
321,마스크검정,20.0,350.0,0.1,4.7,0.25,1.43,15,3
322,여자마스크추천,10.0,90.0,0.0,0.3,0.0,0.38,3,3
323,마스크소량제작,10.0,40.0,0.3,1.8,2.23,4.09,15,3
324,김서림방지마스크,200.0,1090.0,1.8,35.2,0.9,3.46,15,3
325,숨마스크,440.0,4040.0,1.1,46.3,0.28,1.22,15,3
326,순수마스크,60.0,850.0,0.5,23.3,0.76,2.89,15,3
327,저자극마스크,70.0,630.0,0.5,17.5,0.74,2.98,15,3
328,향균마스크,40.0,300.0,0.6,15.3,1.5,5.3,15,3
329,얼큰이마스크,670.0,3950.0,3.1,78.0,0.49,2.08,15,3
330,저가마스크,10.0,20.0,0.1,0.0,0.61,0.0,15,3
331,남자마스크추천,10.0,80.0,0.3,2.8,2.78,3.53,15,3
332,크리넥스KF80,250.0,2650.0,1.5,23.8,0.62,0.96,15,3
333,FACEMASK,130.0,380.0,0.2,5.3,0.17,1.45,15,3
334,케이에프마스크,10.0,90.0,0.0,2.0,0.0,2.28,15,3
335,컬러마스크,1240.0,8360.0,7.5,116.7,0.65,1.5,15,3
336,마스크광고,60.0,190.0,0.5,1.5,0.7,0.81,15,3
337,3D입체마스크,30.0,280.0,0.0,3.2,0.0,1.23,15,3
338,국민마스크,90.0,660.0,0.4,11.5,0.45,1.79,15,3
339,마스크소재,50.0,80.0,0.0,0.0,0.0,0.0,3,3
340,마스크로고,50.0,100.0,1.8,8.0,3.6,7.64,15,3
341,전도용마스크,10.0,20.0,0.1,1.7,1.34,7.5,15,3
342,큰사이즈마스크,10.0,100.0,0.1,2.0,0.42,2.11,15,3
343,코랄마스크,20.0,300.0,0.2,9.2,1.18,3.32,15,3
344,끈없는마스크,200.0,980.0,1.1,16.8,0.56,1.89,14,3
345,로고마스크,30.0,5050.0,0.6,4.5,2.15,0.09,15,3
346,남성마스크,30.0,180.0,0.7,5.8,2.16,3.31,15,3
347,UV차단마스크,40.0,390.0,0.3,11.1,0.6,3.05,15,3
348,후아마스크,10.0,180.0,0.1,4.1,0.42,2.35,15,3
349,여성용마스크,10.0,110.0,0.1,4.3,1.03,4.01,15,3
350,에어마스크,200.0,1070.0,1.0,14.7,0.51,1.45,15,3
351,대통령마스크,20.0,90.0,0.2,1.0,0.87,1.3,6,2
352,프린트마스크,20.0,40.0,0.5,1.2,2.81,3.42,15,3
353,마스크끈조절,90.0,950.0,0.4,11.2,0.43,1.24,15,3
354,성인용마스크,10.0,50.0,0.0,0.0,0.0,0.0,15,3
355,좋은마스크,10.0,90.0,0.1,1.2,0.48,1.3,15,3
356,기능성마스크,40.0,160.0,0.2,1.3,0.56,0.82,15,3
357,맞춤마스크,10.0,40.0,0.1,0.6,0.45,1.58,15,3
358,마스크인쇄제작,10.0,10.0,0.9,0.0,5.84,0.0,15,3
359,교회마스크,10.0,60.0,0.1,0.0,1.49,0.0,15,3
