,연관키워드,월간검색수_PC,월간검색수_모바일,월평균클릭수_PC,월평균클릭수_모바일,월평균클릭률_PC,월평균클릭률_모바일,월평균노출광고수,경쟁정도
4326,6개월아기선물,180.0,1060.0,0.5,3.3,0.27,0.34,15,3
4327,북유럽풍거실매트,170.0,1980.0,1.7,35.3,1.12,1.91,15,3
4328,영유아쇼핑몰,30.0,110.0,1.6,11.5,5.17,10.09,15,3
4329,거실소음방지매트,10.0,970.0,0.0,2.9,0.0,0.32,15,3
4330,담요추천,320.0,2320.0,2.1,46.3,0.69,2.13,15,3
4331,어린이집매트,220.0,950.0,5.8,35.6,2.83,3.9,15,3
4332,기저귀가방백팩,360.0,7410.0,1.7,81.7,0.52,1.19,15,3
4333,복도롤매트,50.0,500.0,0.3,0.7,0.69,0.15,15,3
4334,면담요,100.0,580.0,0.7,12.1,0.69,2.28,15,3
4335,폴더매트커버,120.0,3160.0,0.6,29.2,0.49,0.97,15,3
4336,북유럽아기매트,30.0,330.0,0.0,5.2,0.0,1.65,15,3
4337,임산부매트리스,20.0,80.0,0.0,1.5,0.0,1.8,15,3
4338,어린이집매트시공,10.0,20.0,0.4,1.4,3.34,7.15,15,3
4339,탕온계,400.0,4570.0,0.1,0.0,0.03,0.0,14,3
4340,신생아용품리스트,280.0,1180.0,0.6,7.6,0.23,0.68,15,3
4341,거실PVC매트,90.0,400.0,0.1,8.2,0.09,2.22,15,3
4342,둘째출산선물,140.0,860.0,0.3,1.5,0.2,0.19,15,3
4343,범퍼침대매트리스,20.0,370.0,0.0,0.7,0.0,0.2,3,3
4344,범퍼침대토퍼,70.0,1390.0,1.2,21.8,1.75,1.7,15,3
4345,여자신생아선물,10.0,60.0,0.0,0.0,0.0,0.0,8,2
4346,육아용품점,40.0,470.0,1.4,1.3,3.04,0.31,11,2
4347,애기선물,530.0,2580.0,1.1,10.0,0.22,0.42,15,3
4348,아기용품점,140.0,1990.0,1.5,19.0,1.08,1.05,15,3
4349,출산선물세트,170.0,940.0,1.2,0.3,0.73,0.04,15,3
4350,유치원매트,30.0,60.0,0.5,0.0,1.84,0.0,15,3
4351,애기용품,400.0,2050.0,1.6,16.9,0.43,0.88,15,3
4352,PE매트,100.0,460.0,0.3,6.0,0.27,1.36,15,3
4353,유아롤매트,70.0,420.0,0.9,16.5,1.38,4.2,15,3
4354,키즈카페매트,40.0,160.0,1.0,3.5,2.64,2.22,15,3
4355,아기두상베개,110.0,4010.0,0.5,25.3,0.49,0.66,15,3
4356,바이오워싱이불,40.0,420.0,0.0,1.7,0.0,0.42,3,3
4357,백팩기저귀가방,80.0,940.0,0.3,7.7,0.43,0.88,15,3
4358,니트블랭킷,160.0,1170.0,1.3,24.8,0.86,2.31,15,3
4359,신생아짱구베개,160.0,2260.0,0.8,13.0,0.52,0.62,15,3
4360,7개월아기선물,50.0,330.0,0.2,4.3,0.41,1.36,15,3
4361,신생아거실매트,110.0,950.0,0.3,3.6,0.3,0.41,15,3
4362,유아접이식매트,10.0,50.0,0.0,0.0,0.0,0.0,3,3
4363,100일아기선물,360.0,2020.0,0.8,6.3,0.23,0.33,15,3
4364,패딩우주복,940.0,17300.0,3.9,82.3,0.45,0.51,15,3
4365,영유아용품,40.0,50.0,0.5,1.0,1.45,2.13,15,3
4366,유아용품매장,50.0,300.0,0.5,0.3,0.84,0.12,15,3
4367,애기백일선물,80.0,700.0,0.1,8.5,0.18,1.29,15,3
4368,신생아용품선물,30.0,110.0,0.0,3.0,0.0,2.64,15,3
4369,출산용품선물,20.0,80.0,0.1,0.3,0.71,0.4,15,3
4370,쪽쪽이클립,590.0,12100.0,0.9,83.1,0.17,0.73,15,3
4371,엄마백팩,170.0,1360.0,1.3,18.6,0.78,1.47,15,3
4372,아빠기저귀가방,20.0,120.0,0.3,0.0,1.54,0.0,3,1
4373,돌아기선물,650.0,4590.0,0.7,10.7,0.11,0.25,15,3
4374,출산가방,930.0,5700.0,0.4,0.7,0.06,0.02,13,2
4375,신생아출산선물,90.0,530.0,0.4,4.4,0.44,0.88,15,3
4376,아기쿠션,220.0,2950.0,1.2,35.0,0.56,1.27,15,3
4377,기저귀백팩,220.0,3080.0,0.6,22.5,0.29,0.79,15,3
4378,갓난아기선물,80.0,480.0,0.4,2.9,0.48,0.64,15,3
4379,모빌,3930.0,18000.0,5.2,172.0,0.15,1.03,15,3
4380,조카100일선물,190.0,840.0,1.1,1.0,0.58,0.13,15,3
4381,유아용품쇼핑몰,30.0,40.0,1.3,0.9,4.31,2.44,15,3
4382,여아선물,70.0,550.0,0.1,0.6,0.09,0.13,15,3
4383,영아선물,40.0,180.0,1.1,3.1,2.32,1.71,15,3
4384,아기백일선물추천,10.0,80.0,1.1,0.3,6.67,0.41,4,1
4385,아기인형,520.0,5540.0,0.5,17.8,0.1,0.35,15,3
4386,8개월아기선물,40.0,430.0,0.0,1.0,0.0,0.25,15,3
4387,여아백일선물,10.0,120.0,0.3,3.6,2.57,3.17,8,2
4388,아기용품브랜드,110.0,480.0,0.8,8.2,0.72,1.76,15,3
4389,명품기저귀가방,840.0,8520.0,1.1,2.0,0.15,0.03,13,2
4390,아기체육관,2350.0,30500.0,1.4,178.3,0.07,0.63,15,3
4391,에뜨와선물세트,10.0,210.0,0.0,0.7,0.0,0.33,3,3
4392,신생아목욕,470.0,8260.0,0.0,1.6,0.0,0.03,13,2
4393,두돌아기선물,220.0,1240.0,0.1,6.9,0.07,0.59,15,3
4394,쌍둥이돌선물,50.0,280.0,0.0,0.0,0.0,0.0,3,3
4395,손자돌선물,10.0,120.0,0.0,1.5,0.0,1.33,5,2
4396,아기용품선물,70.0,400.0,0.1,2.0,0.21,0.53,15,3
4397,5세여아선물,110.0,1150.0,0.4,7.6,0.37,0.7,15,3
4398,신생아두상베개,60.0,1330.0,0.3,10.5,0.45,0.83,15,3
4399,쪽쪽이,1660.0,22300.0,3.1,229.8,0.2,1.1,15,3
4400,출산후선물,190.0,1180.0,1.0,7.1,0.55,0.64,15,3
4401,출산육아용품,20.0,40.0,0.3,0.0,1.39,0.0,15,3
4402,어린이선물세트,40.0,140.0,0.7,1.8,1.76,1.28,15,3
4403,3살아기선물,110.0,640.0,0.4,4.5,0.38,0.76,15,3
